CRN,SPEED_LIMIT,RDWY_COUNTY
2002216850,25.0,15
2003047689,35.0,67
2003047689,,67
2003040247,,67
2003056863,35.0,67
2003056863,35.0,67
2003019847,,67
2002229554,25.0,6
2003026075,35.0,67
2003026075,25.0,67
2003026075,35.0,67
2003073881,30.0,67
2003073881,35.0,67
2003024589,40.0,40
2002211750,15.0,23
2002211750,25.0,23
2005163954,,23
2002211775,35.0,46
2002211775,40.0,46
2002230323,15.0,23
2002230323,35.0,23
2002230323,35.0,23
2002202771,25.0,11
2002202771,25.0,11
2002228507,40.0,9
2002212935,35.0,39
2002212935,35.0,39
2003019366,35.0,22
2002225180,25.0,46
2002066853,25.0,21
2002227227,25.0,9
2002227227,25.0,9
2003040973,40.0,1
2003040973,40.0,1
2002210261,,39
2002210261,,39
2003074481,55.0,40
2003074481,55.0,40
2002222544,25.0,9
2002055889,,28
2002055889,,28
2002202453,,39
2002202453,,39
2003045767,,14
2003045767,40.0,14
2002201762,35.0,26
2002201762,35.0,26
2003071746,,48
2003071746,,48
2002068752,40.0,25
2003030494,45.0,25
2003030494,25.0,25
2002239580,25.0,10
2003032471,45.0,48
2002218957,45.0,15
2002217890,25.0,40
2003069087,25.0,14
2003069087,25.0,14
2002234771,35.0,39
2002234771,25.0,39
2002043896,25.0,36
2003036861,55.0,25
2002235153,,2
2006085030,,13
2005178110,45.0,43
2005178110,35.0,43
2005178110,,43
2002066378,35.0,40
2002066378,35.0,40
2003057638,,67
2003057638,,67
2003036695,25.0,35
2003036695,25.0,35
2002052861,25.0,35
2002052861,,35
2003041574,25.0,2
2003041574,25.0,2
2003019083,55.0,2
2003019083,25.0,2
2003019083,25.0,2
2002222718,25.0,60
2002222718,25.0,60
2003027595,25.0,67
2003027595,25.0,67
2003025354,25.0,2
2003025354,25.0,2
2003016036,25.0,25
2003016036,25.0,25
2003047740,25.0,67
2003047740,25.0,67
2003047740,,67
2002205178,25.0,6
2003028140,10.0,67
2003028140,15.0,67
2003035191,25.0,67
2002227326,25.0,46
2003035736,25.0,2
2003035736,35.0,2
2002070865,45.0,26
2003035179,25.0,67
2003035179,35.0,67
2003035179,35.0,67
2003035179,35.0,67
2003035179,25.0,67
2003041033,35.0,46
2002238819,35.0,40
2002238819,35.0,40
2003044080,20.0,67
2003044080,25.0,67
2003044080,25.0,67
2003009725,35.0,67
2002066588,35.0,67
2002066588,35.0,67
2003011399,,67
2003016418,60.0,67
2003016418,30.0,67
2002231956,25.0,6
2003025500,35.0,67
2003025500,35.0,67
2003047615,35.0,67
2003047615,,67
2003066145,25.0,67
2002050991,,67
2002050991,,67
2005164963,25.0,67
2005164963,25.0,67
2003016450,,67
2003016450,30.0,67
2003020291,35.0,67
2003011988,,67
2002221097,40.0,46
2002221097,25.0,46
2002223568,45.0,44
2002050660,,67
2002050660,,67
2002050660,25.0,67
2002050660,,67
2003073757,,67
2003073757,35.0,67
2003038723,25.0,67
2003057651,25.0,67
2003000034,45.0,2
2003020434,35.0,36
2003032889,25.0,67
2003032889,25.0,67
2003058215,35.0,67
2002203283,45.0,4
2002203283,,4
2003031497,25.0,25
2003038269,25.0,40
2002218464,,66
2002218464,,66
2002219823,25.0,46
2002219823,35.0,46
2002219823,35.0,46
2002068433,35.0,36
2002068433,35.0,36
2002217194,25.0,38
2002217194,25.0,38
2002049722,25.0,6
2002049722,45.0,6
2002226916,25.0,66
2002057212,45.0,23
2002226160,35.0,39
2002226160,35.0,39
2003011327,25.0,25
2002208659,25.0,66
2002208659,25.0,66
2003068860,25.0,67
2003033355,45.0,62
2005163896,40.0,39
2002209910,25.0,66
2002209910,25.0,66
2002213664,25.0,66
2002213664,25.0,66
2002205325,30.0,6
2002229922,35.0,35
2002229922,35.0,35
2002215734,35.0,46
2002215734,45.0,46
2005127150,25.0,67
2005127150,25.0,67
2005116381,35.0,67
2005116381,35.0,67
2003033491,35.0,61
2002230506,25.0,6
2002226419,35.0,41
2002226419,35.0,41
2003070555,45.0,67
2003022919,40.0,67
2002227507,,66
2002227507,25.0,66
2002227507,,66
2005112296,25.0,61
2002223856,35.0,2
2002223856,35.0,2
2003024886,25.0,67
2003024886,25.0,67
2005110846,25.0,35
2005110846,25.0,35
2003021451,35.0,2
2003021451,25.0,2
2003021451,55.0,2
2003030635,35.0,64
2003057576,35.0,67
2003057576,35.0,67
2005125052,45.0,9
2002052620,45.0,22
2002061389,35.0,22
2002061389,25.0,22
2003000148,,40
2003000148,,40
2003046814,25.0,67
2003046814,25.0,67
2003016754,25.0,36
2003016754,25.0,36
2003007704,,2
2003007704,,2
2002229180,,35
2002229180,,35
2003011348,30.0,22
2003011348,45.0,22
2003022692,35.0,39
2003069001,20.0,67
2003037013,25.0,2
2003021205,25.0,39
2003021205,25.0,39
2003027333,35.0,40
2003008458,35.0,9
2005115672,15.0,7
2002243886,25.0,2
2002243886,25.0,2
2006071973,,2
2002056567,,8
2002056567,55.0,8
2003024579,55.0,41
2002220103,25.0,38
2002220103,25.0,38
2002210565,40.0,45
2002221212,25.0,48
2002221212,25.0,48
2002221212,25.0,48
2002050562,40.0,58
2003018016,,15
2003018016,,15
2003018016,25.0,15
2002202219,25.0,63
2002223156,25.0,4
2002223156,25.0,4
2002207965,25.0,66
2002207965,25.0,66
2002201989,25.0,33
2002201807,25.0,9
2003042830,,67
2003042830,,67
2002231522,35.0,41
2002231494,25.0,23
2002231494,,23
2003068813,25.0,67
2005122505,25.0,67
2003022491,25.0,67
2002244983,25.0,6
2003040622,25.0,67
2003040622,25.0,67
2003046856,35.0,40
2003046856,35.0,40
2003091125,25.0,67
2003091125,25.0,67
2003091125,25.0,67
2003091125,25.0,67
2003035339,25.0,67
2003035339,,67
2005165566,,67
2005165566,35.0,67
2002208790,25.0,6
2002208790,,6
2003030922,,67
2003030922,,67
2002070923,25.0,67
2002065393,25.0,67
2003035362,25.0,67
2003035362,25.0,67
2003066053,25.0,67
2003066053,25.0,67
2003039422,25.0,63
2003039422,25.0,63
2002219383,25.0,46
2002219383,25.0,46
2005183580,25.0,67
2005183580,,67
2002226761,35.0,40
2003043453,25.0,67
2003043453,25.0,67
2003035254,25.0,67
2003033999,,67
2002225736,45.0,46
2002225736,25.0,46
2003031951,50.0,25
2005113556,50.0,15
2005113556,50.0,15
2002226388,25.0,10
2002226388,25.0,10
2002210262,35.0,6
2002210262,35.0,6
2002046097,25.0,7
2002046097,25.0,7
2002243915,25.0,62
2002243915,25.0,62
2002243915,25.0,62
2002217473,25.0,9
2002217473,45.0,9
2003062059,,67
2003062059,,67
2003062059,,67
2003038801,35.0,67
2005122995,25.0,67
2005122995,35.0,67
2003018008,35.0,15
2003018008,35.0,15
2003018008,35.0,15
2003039066,15.0,3
2003039066,15.0,3
2003014447,25.0,14
2003014447,25.0,14
2002063738,45.0,60
2002063738,35.0,60
2003016583,,15
2003016583,45.0,15
2003025014,35.0,22
2003025014,45.0,22
2003030538,40.0,54
2003030538,,54
2002063306,25.0,14
2002063306,35.0,14
2002217767,35.0,46
2002217767,25.0,46
2003032854,25.0,36
2002225474,25.0,2
2002225474,25.0,2
2002226038,25.0,2
2005176185,35.0,36
2005176185,35.0,36
2005176185,25.0,36
2002223818,25.0,35
2003067750,25.0,14
2003067750,25.0,14
2002051239,30.0,48
2002051239,,48
2005121326,25.0,23
2003012484,35.0,2
2003012484,35.0,2
2002203082,25.0,9
2002203082,25.0,9
2002231197,25.0,21
2002231197,25.0,21
2003049206,15.0,2
2003049206,45.0,2
2003012367,35.0,6
2003012367,35.0,6
2002218102,25.0,24
2002218102,25.0,24
2003071748,35.0,48
2003071748,,48
2003058003,25.0,38
2002217649,40.0,23
2002217649,25.0,23
2002217649,40.0,23
2002235626,25.0,2
2002235626,25.0,2
2002230067,25.0,53
2003009739,25.0,67
2003009739,30.0,67
2002207125,25.0,40
2002207125,25.0,40
2003049301,25.0,35
2002209389,55.0,6
2003035698,35.0,46
2003035698,35.0,46
2002221635,25.0,38
2002221635,25.0,38
2002221635,25.0,38
2003025604,15.0,67
2002230770,25.0,6
2002230770,25.0,6
2002230770,30.0,6
2002230770,25.0,6
2003022699,35.0,46
2003057703,,49
2003057703,,49
2003031496,25.0,25
2003031496,25.0,25
2003050751,45.0,15
2003050751,35.0,15
2005113826,35.0,67
2003039754,35.0,4
2003045030,25.0,36
2003045030,,36
2003056890,25.0,67
2003056890,35.0,67
2002056299,25.0,67
2002054156,,67
2002054156,35.0,67
2003056439,35.0,67
2003056439,35.0,67
2003026090,35.0,67
2003020802,25.0,31
2003020802,25.0,31
2003056889,25.0,67
2003056889,25.0,67
2003030895,,67
2003056729,,67
2003056729,,67
2002240055,25.0,6
2005121294,,67
2005121294,,67
2005116723,25.0,67
2003001360,25.0,2
2005111723,45.0,10
2003024871,15.0,67
2003052510,35.0,67
2003052510,35.0,67
2003038691,35.0,67
2003038691,35.0,67
2003038691,35.0,67
2003068991,,67
2003035201,25.0,67
2003035201,25.0,67
2003036976,25.0,28
2003036976,25.0,28
2003040557,,67
2003040557,,67
2003040557,35.0,67
2003038952,35.0,2
2003033709,35.0,28
2005182995,35.0,67
2005182995,35.0,67
2003025412,,67
2003025412,,67
2003056841,15.0,67
2003066103,35.0,23
2003050142,,67
2003050142,,67
2003052058,25.0,67
2003052058,,67
2002226760,35.0,40
2002226760,35.0,40
2002230920,35.0,41
2002211832,25.0,15
2002211832,25.0,15
2002211183,25.0,15
2002211183,25.0,15
2003045017,25.0,6
2002217565,35.0,64
2002201698,15.0,4
2002239799,25.0,6
2002239799,25.0,6
2005163938,35.0,18
2005163938,35.0,18
2003066769,45.0,39
2003066769,25.0,39
2002222930,15.0,23
2002218799,25.0,66
2002218799,25.0,66
2003030249,35.0,67
2002215884,35.0,6
2002215884,35.0,6
2003034976,25.0,25
2003034976,25.0,25
2002047787,25.0,67
2002047787,25.0,67
2002047787,25.0,67
2002047787,,67
2002209821,,38
2002227802,25.0,66
2002227802,15.0,66
2002219865,,19
2002219865,,19
2003057584,25.0,67
2003057584,25.0,67
2003010676,25.0,67
2003010676,25.0,67
2002218566,45.0,39
2002218566,45.0,39
2002218566,35.0,39
2003068431,25.0,67
2003040550,25.0,67
2003040550,,67
2002226185,25.0,9
2002239998,25.0,66
2002239998,25.0,66
2002204604,45.0,39
2002230321,,15
2002058376,,64
2002058376,25.0,64
2002209774,25.0,12
2002209774,25.0,12
2003078781,25.0,12
2003078781,25.0,12
2002225438,25.0,23
2005178802,25.0,67
2003041548,,67
2003041548,,67
2002215405,25.0,15
2002215405,25.0,15
2002228309,25.0,38
2003024708,25.0,46
2003024708,25.0,46
2005080330,25.0,67
2005080330,25.0,67
2002216566,35.0,66
2002216566,25.0,66
2002222657,25.0,45
2002222657,25.0,45
2002222657,25.0,45
2002226914,25.0,66
2003011394,25.0,67
2003011394,25.0,67
2003009918,15.0,67
2003009918,65.0,67
2002053895,40.0,67
2002053895,25.0,67
2002047757,,67
2002047757,,67
2002047757,,67
2002056074,25.0,2
2002056074,35.0,2
2003068859,,67
2003038760,25.0,67
2003038760,,67
2003041788,25.0,2
2003041788,25.0,2
2003041788,25.0,2
2003065975,25.0,49
2003065975,25.0,49
2003035370,25.0,67
2003008400,40.0,46
2003008400,45.0,46
2003008400,,46
2003008400,40.0,46
2003070114,35.0,17
2003070114,35.0,17
2003070114,,17
2002236744,35.0,9
2002050078,25.0,45
2002050078,25.0,45
2002053590,35.0,21
2002053590,25.0,21
2002215560,25.0,1
2002215560,25.0,1
2002217977,25.0,11
2002217977,25.0,11
2002228884,,9
2003017696,35.0,39
2003017696,35.0,39
2002222295,25.0,11
2003065093,45.0,39
2002211171,25.0,9
2002211171,25.0,9
2002225518,25.0,23
2002225518,25.0,23
2002219508,25.0,23
2002219508,25.0,23
2002220009,35.0,46
2003023322,55.0,46
2003068751,25.0,67
2002206833,55.0,4
2002065728,45.0,36
2003022617,,39
2003032975,,67
2003032975,,67
2002056429,25.0,23
2002056429,35.0,23
2002020124,25.0,2
2003033405,25.0,67
2003033405,35.0,67
2002238998,25.0,40
2002238998,35.0,40
2002225535,25.0,23
2002225535,,23
