CRN,GRADE,IMPACT_POINT,RDWY_ALIGNMENT,UNIT_NUM,VEH_MOVEMENT,VEH_POSITION,VEH_ROLE,VEH_TYPE,PC_HDLGHT_IND,PC_HLMT_IND,PC_REAR_RFLTR_IND
2002212936,9.0,12.0,9.0,1,12.0,3.0,2.0,20.0,U,U,U
2003038740,9.0,99.0,1.0,2,1.0,99.0,2.0,20.0,U,U,U
2003015247,1.0,99.0,1.0,2,1.0,0.0,2.0,20.0,U,U,U
2003068800,1.0,99.0,1.0,2,1.0,99.0,2.0,20.0,U,U,U
2003008298,1.0,99.0,1.0,2,99.0,3.0,2.0,20.0,U,U,U
2004005488,1.0,99.0,1.0,2,1.0,99.0,2.0,20.0,U,U,U
2003056518,1.0,12.0,9.0,1,99.0,99.0,1.0,20.0,U,U,U
2003068986,1.0,3.0,1.0,2,12.0,0.0,2.0,20.0,U,U,U
2002063546,1.0,12.0,2.0,1,10.0,11.0,1.0,20.0,U,U,U
2002056459,1.0,12.0,1.0,2,1.0,13.0,2.0,20.0,U,U,U
2003030104,9.0,99.0,9.0,2,99.0,99.0,2.0,20.0,U,U,U
2003043517,3.0,3.0,1.0,2,1.0,0.0,2.0,20.0,U,U,U
2003057689,1.0,5.0,1.0,1,1.0,1.0,2.0,20.0,U,Y,U
2003056466,1.0,99.0,1.0,1,1.0,7.0,1.0,20.0,U,U,U
2003025191,1.0,3.0,1.0,2,1.0,98.0,2.0,20.0,U,U,U
2002053918,1.0,12.0,1.0,2,1.0,98.0,2.0,20.0,U,U,U
2003021258,1.0,9.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2003050170,1.0,12.0,1.0,2,1.0,7.0,1.0,20.0,U,U,U
2003038845,9.0,99.0,1.0,2,1.0,99.0,2.0,20.0,U,U,U
2002064865,3.0,12.0,1.0,1,1.0,1.0,1.0,20.0,U,U,U
2003048085,1.0,5.0,1.0,1,1.0,1.0,2.0,20.0,U,U,U
2005196747,3.0,99.0,1.0,2,1.0,1.0,2.0,20.0,U,Y,U
2003058647,5.0,12.0,1.0,1,2.0,0.0,1.0,20.0,U,U,U
2005099455,1.0,12.0,1.0,1,1.0,13.0,1.0,20.0,U,U,U
