,CRN,RDWY_SEQ_NUM,ADJ_RDWY_SEQ,ROUTE,SEGMENT,OFFSET,RDWY_ORIENT,LANE_COUNT,SPEED_LIMIT,STREET_NAME,ROAD_OWNER,ACCESS_CTRL,RDWY_COUNTY
7322,2004086060,3,3,2002,50.0,2236.0,E,2.0,25.0,SNYDER AV,2.0,3.0,67
7323,2004086060,4,4,,,,S,1.0,25.0,FOURTH ST,4.0,,67
7324,2005025598,4,3,,,0.0,N,1.0,25.0,ERDRICK ST,4.0,,67
7325,2005025598,3,4,,,0.0,E,1.0,25.0,MARPLE ST,4.0,,67
7326,2005032770,3,4,,,0.0,N,2.0,25.0,WOOLSTON AV,4.0,,67
7327,2005032770,4,3,,,0.0,W,2.0,25.0,SHARPKNACK ST,4.0,,67
7328,2005032760,4,4,2007,110.0,0.0,N,2.0,,FRANKFORD AV,2.0,3.0,67
7329,2005032760,3,3,1004,90.0,0.0,E,2.0,,TORRESDALE AV,2.0,3.0,67
7330,2004084009,4,3,,,0.0,W,2.0,25.0,MULBERRY ST,4.0,,22
7331,2004084009,3,4,,,0.0,N,1.0,25.0,EVERGREEN ST,4.0,,22
7332,2005018157,3,3,0997,140.0,0.0,U,2.0,45.0,ANTHONY HW,2.0,3.0,28
7333,2005018157,4,4,,,0.0,S,2.0,,NUNNERY RD,4.0,,28
7334,2005042552,3,4,,,0.0,W,1.0,,COLONIAL ST,4.0,,67
7335,2005042552,4,3,,,0.0,N,1.0,15.0,SECOND ST,4.0,,67
7336,2004084177,4,4,,,0.0,S,1.0,25.0,FIFTEENTH ST,4.0,,67
7337,2004084177,3,3,2002,30.0,1794.0,W,2.0,25.0,SNYDER AV,2.0,3.0,67
7338,2005027724,3,4,,,0.0,W,2.0,25.0,MEADOW ST,4.0,,2
7339,2005027724,4,3,,,0.0,S,2.0,25.0,ST M ARIE ST,4.0,,2
7340,2004090616,3,4,,,,W,2.0,35.0,GLENWOOD AV,4.0,,67
7341,2004090616,4,3,,,,S,99.0,,SIXTH ST,4.0,,67
7342,2005010966,3,4,,,0.0,N,99.0,,PARKING LN,7.0,,67
7343,2005010966,4,3,,,0.0,E,99.0,,WASHINGTON AV,4.0,,67
7344,2004086728,3,3,0003,71.0,2177.0,W,3.0,35.0,WALNUT ST,2.0,3.0,67
7345,2005053637,5,5,,,,E,2.0,40.0,WORTHINGTON DR,4.0,,15
7346,2005053637,4,4,0100,281.0,0.0,S,2.0,55.0,POTTSTOWN PK,2.0,3.0,15
7347,2005053637,3,3,0100,280.0,0.0,N,2.0,55.0,POTTSTOWN PK,2.0,3.0,15
7348,2005067784,3,3,1018,20.0,1456.0,E,2.0,25.0,GRANT AV,2.0,3.0,67
7349,2004088181,3,3,,,,E,2.0,,COLUMBIA AV,4.0,,67
7350,2004089275,4,3,,,,N,1.0,20.0,JASPER ST,4.0,,67
7351,2004089275,3,4,,,,W,1.0,15.0,MONMOUTH ST,4.0,,67
7352,2004088386,4,4,,,,S,2.0,,MAIN ST,4.0,,67
7353,2004088386,3,3,3009,100.0,668.0,S,2.0,35.0,RIDGE AV,2.0,3.0,67
7354,2005014314,3,4,,,0.0,N,2.0,25.0,EIGHTH AV,4.0,,38
7355,2005014314,4,3,,,0.0,E,2.0,25.0,MIFFLIN ST,4.0,,38
7356,2004212424,3,3,0011,431.0,1687.0,W,2.0,25.0,,2.0,3.0,19
