,CRN,ARRIVAL_TM,DISPATCH_TM,COUNTY,MUNICIPALITY,DEC_LAT,DEC_LONG,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,HEAVY_TRUCK_COUNT,SMALL_TRUCK_COUNT,SUV_COUNT,COLLISION_TYPE,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,HOUR_OF_DAY,ILLUMINATION,LOCATION_TYPE,ROAD_CONDITION,URBAN_RURAL,INTERSECT_TYPE,WEATHER1,WEATHER2,TCD_TYPE,TCD_FUNC_CD,AGGRESSIVE_DRIVING,ALCOHOL_RELATED,ANGLE_CRASH,CELL_PHONE,COMM_VEHICLE,DISTRACTED,DRINKING_DRIVER,DRUGGED_DRIVER,FATIGUE_ASLEEP,IMPAIRED_DRIVER,NHTSA_AGG_DRIVING,RUNNING_RED_LT,RUNNING_STOP_SIGN,SPEEDING_RELATED,TAILGATING,MATURE_DRIVER,YOUNG_DRIVER
61,2002055889,652.0,648.0,28,28401,,,0,0,0,0,0,0,6,1,2002,5,6.0,5.0,0,9.0,1,2,3,  ,3,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,2002056048,1747.0,1744.0,46,46104,40.0088,-75.293,0,0,0,0,0,0,4,2,2002,6,17.0,3.0,0,9.0,3,2,3,  ,2,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2002056053,1427.0,1425.0,17,17301,41.129,-78.7628,0,0,0,0,0,0,4,1,2002,5,14.0,1.0,0,1.0,2,0,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,2002056074,1446.0,1433.0,2,2301,40.4281,-79.9709,0,0,0,0,0,0,1,3,2002,7,14.0,1.0,0,1.0,3,1,3,  ,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2002056299,1727.0,1727.0,67,67301,,,0,0,0,0,0,0,4,1,2002,2,17.0,1.0,0,1.0,3,0,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2002056410,1321.0,1320.0,40,40401,41.2167,-75.9019,0,0,0,0,0,0,4,6,2002,6,12.0,1.0,0,1.0,3,1,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2002056429,1510.0,1507.0,23,23101,39.864,-75.4042,0,0,0,0,0,0,6,5,2002,5,15.0,1.0,0,1.0,3,2,3,  ,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,2002056459,1725.0,725.0,67,67301,39.926,-75.163,0,0,0,0,0,0,4,5,2002,5,17.0,1.0,0,1.0,3,2,3,  ,3,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2002056567,1813.0,1812.0,8,8412,41.7654,-76.4444,0,0,0,0,0,0,4,2,2002,3,18.0,3.0,0,9.0,1,1,7,  ,3,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2002056585,1639.0,1637.0,40,40304,41.2486,-75.8648,0,0,0,0,0,0,4,2,2002,4,16.0,1.0,0,1.0,3,2,3,  ,3,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2002056587,1726.0,1723.0,40,40304,,,0,0,0,0,0,0,4,2,2002,1,17.0,1.0,0,1.0,3,2,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2002056596,256.0,254.0,40,40304,41.2481,-75.884,0,1,0,0,0,0,1,2,2002,7,2.0,3.0,3,1.0,3,0,3,  ,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2002056670,2016.0,2016.0,64,64303,40.3278,-79.6169,0,0,0,0,0,0,5,3,2002,7,20.0,3.0,0,1.0,3,2,3,  ,3,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2002056785,1735.0,1730.0,2,2301,40.4576,-79.9343,0,0,0,0,0,0,2,2,2002,5,17.0,1.0,0,9.0,3,3,7,  ,0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
75,2002057002,1621.0,1621.0,46,46413,40.1119,-75.3371,0,0,0,0,0,0,8,3,2002,2,16.0,4.0,0,1.0,3,2,9,  ,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2002057054,2141.0,2141.0,67,67301,39.9303,-75.1769,0,0,0,0,0,0,5,5,2002,6,21.0,3.0,0,1.0,3,0,3,  ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,2002057212,1310.0,1250.0,23,23209,39.9484,-75.5071,0,0,0,0,0,0,4,4,2002,7,12.0,1.0,0,1.0,1,0,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2002057313,2239.0,2239.0,36,36301,40.0386,-76.3013,0,0,0,0,0,0,1,3,2002,7,22.0,3.0,0,9.0,3,0,3,  ,0,0.0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
79,2002057934,1712.0,1710.0,48,48409,40.6906,-75.4973,0,1,0,0,0,0,4,5,2002,7,17.0,1.0,0,1.0,3,2,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2002058015,1510.0,1510.0,35,35302,41.4063,-75.6632,0,0,0,0,0,0,8,3,2002,4,15.0,1.0,7,9.0,3,0,7,  ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2002058376,1255.0,1251.0,64,64424,,,0,0,0,0,0,0,4,2,2002,7,12.0,1.0,0,1.0,2,2,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2002059576,858.0,854.0,22,22301,40.2621,-76.8733,0,0,0,0,0,0,4,7,2002,3,8.0,1.0,0,9.0,3,0,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2002060471,1320.0,1310.0,46,46102,40.1041,-75.1644,0,0,0,0,0,0,4,7,2002,7,13.0,1.0,0,1.0,3,1,3,  ,2,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2002060785,1709.0,1705.0,22,22301,40.2615,-76.8861,0,0,0,0,0,0,4,7,2002,6,17.0,1.0,0,1.0,3,0,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2002061046,1438.0,1431.0,21,21208,40.2265,-77.2168,0,1,0,0,0,0,4,6,2002,3,14.0,1.0,0,1.0,1,2,3,  ,3,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2002061073,1403.0,1358.0,67,67301,40.0521,-75.0678,0,0,0,0,0,0,4,5,2002,7,13.0,1.0,0,1.0,3,1,3,  ,2,3.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
87,2002061085,1430.0,1430.0,36,36238,40.1257,-76.2074,0,0,0,0,1,0,4,7,2002,6,9.0,1.0,0,1.0,3,0,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2002061138,1650.0,1650.0,36,36101,40.0858,-76.3069,0,0,0,0,0,0,2,3,2002,4,16.0,1.0,0,1.0,3,2,3,  ,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2002061389,2019.0,2014.0,22,22301,,,0,0,0,0,0,0,4,7,2002,7,20.0,1.0,0,1.0,3,1,3,  ,3,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2002061399,1558.0,1555.0,21,21401,40.24,-76.9139,0,0,0,0,0,0,4,7,2002,4,15.0,1.0,0,1.0,3,2,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,2002061510,1622.0,1616.0,67,67301,40.0121,-75.1622,1,0,0,0,0,0,4,4,2002,7,16.0,1.0,0,1.0,3,0,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,2002061595,1956.0,1947.0,40,40214,,,0,0,0,0,0,0,4,4,2002,4,17.0,1.0,0,1.0,1,1,3,  ,3,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,2002061841,742.0,740.0,15,15225,39.7813,-75.7649,0,0,0,0,0,0,4,8,2002,4,7.0,1.0,0,1.0,1,2,3,  ,3,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2002061938,1425.0,1358.0,29,29203,39.8372,-78.2217,0,0,0,0,0,0,2,5,2002,2,12.0,1.0,0,1.0,1,0,3,  ,0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
95,2002061985,1513.0,1507.0,36,36238,40.1147,-76.2117,0,0,0,0,0,0,4,8,2002,7,15.0,1.0,0,1.0,3,0,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2002062135,2004.0,2004.0,28,28401,,,0,0,0,0,0,0,4,8,2002,7,19.0,3.0,0,9.0,1,1,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2002062147,1625.0,1622.0,21,21402,40.2086,-77.1955,0,0,0,0,0,0,4,8,2002,5,16.0,1.0,0,1.0,2,1,3,  ,3,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,2002062157,1330.0,1325.0,21,21401,,,0,0,0,0,0,0,5,8,2002,3,13.0,1.0,0,1.0,3,0,3,  ,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,2002062285,2345.0,2249.0,49,49217,40.8836,-76.7878,0,0,0,0,0,0,4,5,2002,4,19.0,1.0,0,1.0,1,2,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2002062950,1809.0,1803.0,64,64209,40.3025,-79.5169,0,0,0,0,0,0,4,2,2002,6,18.0,4.0,0,1.0,3,0,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,2002063124,11.0,9.0,67,67301,39.954,-75.1893,1,0,0,0,0,0,5,2,2002,3,0.0,3.0,0,1.0,3,0,3,  ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2002063306,1335.0,1335.0,14,14204,40.7846,-77.8295,0,0,0,0,0,0,4,6,2002,4,13.0,1.0,0,1.0,3,1,3,  ,2,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,2002063386,2110.0,2108.0,35,35402,41.4797,-75.5888,0,0,0,0,0,0,4,6,2002,6,21.0,3.0,0,1.0,3,1,3,  ,0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
